country,amount,datetime,type,fraud
FR,381.63,2024-06-16 22:10:00,paypal,0
NL,248.9,2024-02-12 17:43:00,credit_card,0
IT,329.74,2024-03-13 22:43:00,credit_card,0
ES,321.88,2024-06-06 07:09:00,bank,0
UK,300.2,2024-02-08 22:55:00,bank,0
FR,53.13,2024-02-13 09:45:00,bank,0
NL,244.01,2024-05-03 14:52:00,credit_card,0
UK,341.9,2024-04-02 00:09:00,paypal,0
FR,217.74,2024-03-03 19:52:00,bank,0
UK,367.11,2024-02-26 11:25:00,credit_card,0
ES,103.22,2024-02-04 15:02:00,credit_card,0
FR,238.88,2024-05-31 04:49:00,credit_card,0
FR,88.79,2024-05-25 05:46:00,bank,0
NL,334.87,2024-06-09 20:51:00,paypal,0
UK,197.22,2024-05-01 10:44:00,paypal,0
UK,74.97,2024-05-20 16:37:00,credit_card,0
NL,375.93,2024-02-20 22:12:00,bank,0
ES,303.2,2024-01-21 17:16:00,credit_card,0
FR,379.86,2024-05-30 00:56:00,credit_card,0
IT,300.27,2024-04-09 10:05:00,paypal,0
UK,202.6,2024-05-31 16:58:00,credit_card,0
UK,66.4,2024-02-21 07:00:00,paypal,0
NL,12.72,2024-06-09 07:38:00,paypal,0
NL,319.72,2024-05-12 00:59:00,bank,0
DE,87.98,2024-02-15 10:12:00,bank,0
NL,197.85,2024-02-19 16:28:00,credit_card,0
IT,153.38,2024-05-04 06:53:00,bank,0
ES,271.03,2024-04-09 02:43:00,bank,0
FR,43.38,2024-04-24 05:24:00,paypal,0
UK,124.14,2024-04-27 02:47:00,paypal,0
FR,107.76,2024-02-29 14:13:00,credit_card,0
IT,232.92,2024-05-04 23:09:00,credit_card,0
NL,15.65,2024-03-12 17:30:00,paypal,0
UK,130.23,2024-03-04 11:56:00,bank,0
UK,58.6,2024-03-25 01:11:00,bank,0
ES,115.47,2024-04-18 12:38:00,bank,0
US,3625.71,2024-01-05 19:56:00,credit_card,1
ES,357.75,2024-01-15 16:02:00,bank,0
FR,394.13,2024-05-24 04:35:00,credit_card,0
FR,138.88,2024-03-23 13:22:00,bank,0
DE,99.75,2024-04-10 11:41:00,credit_card,0
IT,182.89,2024-04-10 02:21:00,paypal,0
UK,322.57,2024-04-04 12:59:00,bank,0
UK,33.47,2024-06-05 21:06:00,bank,0
ES,398.79,2024-03-20 08:24:00,credit_card,0
UK,117.87,2024-01-02 11:43:00,bank,0
IT,389.95,2024-05-28 23:45:00,paypal,0
FR,171.08,2024-06-20 04:30:00,credit_card,0
UK,155.46,2024-04-18 18:02:00,bank,0
IT,211.49,2024-01-29 21:34:00,paypal,0
NL,356.32,2024-05-13 17:13:00,credit_card,0
FR,102.86,2024-03-20 16:35:00,credit_card,0
IT,291.21,2024-06-26 18:51:00,bank,0
FR,280.06,2024-03-30 23:58:00,paypal,0
IT,333.29,2024-05-18 03:25:00,paypal,0
DE,150.96,2024-01-29 17:12:00,credit_card,0
FR,365.49,2024-06-07 11:21:00,paypal,0
FR,225.44,2024-02-10 22:27:00,bank,0
FR,209.99,2024-03-21 12:07:00,bank,0
UK,351.31,2024-01-02 16:29:00,bank,0
UK,259.11,2024-05-06 05:07:00,paypal,0
ES,45.92,2024-04-02 08:55:00,bank,0
NL,274.05,2024-06-09 13:43:00,bank,0
UK,378.66,2024-03-17 07:11:00,paypal,0
ES,341.37,2024-06-24 13:34:00,paypal,0
IT,282.9,2024-04-21 08:27:00,paypal,0
DE,389.39,2024-04-20 20:12:00,credit_card,0
UK,155.1,2024-02-27 15:30:00,paypal,0
DE,368.7,2024-04-23 10:36:00,paypal,0
FR,386.31,2024-03-01 10:30:00,paypal,0
UK,16.44,2024-02-19 17:56:00,bank,0
DE,353.24,2024-02-14 09:27:00,bank,0
UK,112.01,2024-02-15 18:23:00,bank,0
NL,202.01,2024-02-26 04:02:00,bank,0
FR,203.63,2024-06-07 01:16:00,bank,0
NL,132.31,2024-02-14 16:35:00,bank,0
UK,320.27,2024-05-11 19:59:00,paypal,0
IT,272.66,2024-01-29 18:12:00,bank,0
ES,105.85,2024-01-02 17:03:00,bank,0
NL,13.03,2024-06-07 23:38:00,paypal,0
FR,303.0,2024-01-10 01:24:00,credit_card,0
UK,307.92,2024-01-31 13:04:00,bank,0
UK,178.05,2024-04-04 05:19:00,bank,0
US,3024.61,2024-03-23 12:58:00,credit_card,1
FR,242.95,2024-05-18 09:25:00,credit_card,0
UK,306.72,2024-03-07 14:48:00,bank,0
FR,147.9,2024-05-17 16:57:00,paypal,0
UK,157.5,2024-04-30 19:42:00,bank,0
UK,200.65,2024-01-07 17:44:00,credit_card,0
NL,311.4,2024-03-10 05:53:00,credit_card,0
ES,377.92,2024-04-26 02:53:00,paypal,0
FR,170.83,2024-03-03 01:23:00,bank,0
FR,128.13,2024-05-02 06:38:00,paypal,0
IT,172.09,2024-06-23 06:35:00,bank,0
FR,21.62,2024-06-22 21:49:00,bank,0
NL,289.87,2024-01-08 22:53:00,credit_card,0
NL,362.84,2024-03-04 14:26:00,credit_card,0
ES,397.6,2024-01-22 13:31:00,credit_card,0
FR,89.51,2024-03-16 12:35:00,paypal,0
US,1352.56,2024-01-18 01:21:00,paypal,1
NL,24.22,2024-02-21 05:15:00,bank,0
IT,42.26,2024-04-29 23:08:00,credit_card,0
NL,371.91,2024-04-14 19:41:00,credit_card,0
ES,302.62,2024-06-04 08:46:00,bank,0
UK,247.93,2024-04-02 07:24:00,credit_card,0
UK,182.2,2024-01-01 22:56:00,bank,0
ES,129.87,2024-03-21 01:21:00,paypal,0
NL,8.04,2024-02-24 20:55:00,credit_card,0
NL,181.34,2024-05-02 08:06:00,credit_card,0
UK,369.01,2024-03-04 21:38:00,bank,0
NL,129.97,2024-02-17 11:18:00,paypal,0
ES,117.74,2024-01-11 18:29:00,bank,0
NL,72.35,2024-04-24 12:15:00,bank,0
DE,371.99,2024-06-08 23:11:00,credit_card,0
DE,314.37,2024-06-06 19:53:00,paypal,0
ES,127.17,2024-03-15 08:17:00,paypal,0
IT,301.95,2024-06-01 21:25:00,bank,0
ES,244.79,2024-03-05 03:18:00,credit_card,0
FR,303.33,2024-05-05 14:04:00,paypal,0
ES,283.09,2024-02-09 01:28:00,bank,0
DE,168.25,2024-05-10 14:11:00,credit_card,0
DE,319.48,2024-02-23 09:44:00,bank,0
UK,28.92,2024-02-20 05:20:00,bank,0
ES,6.4,2024-05-20 09:04:00,credit_card,0
IT,349.72,2024-04-14 12:07:00,credit_card,0
ES,196.25,2024-06-23 06:40:00,paypal,0
IT,130.68,2024-03-27 02:27:00,credit_card,0
NL,385.68,2024-05-10 18:33:00,paypal,0
DE,75.53,2024-06-24 05:22:00,bank,0
NL,271.97,2024-06-06 22:50:00,bank,0
DE,69.19,2024-03-24 13:01:00,bank,0
DE,261.73,2024-05-24 01:35:00,paypal,0
IT,340.65,2024-01-14 06:11:00,paypal,0
ES,203.21,2024-02-19 14:41:00,paypal,0
ES,64.82,2024-05-05 16:50:00,bank,0
FR,368.22,2024-06-27 12:50:00,bank,0
DE,348.6,2024-04-13 02:17:00,credit_card,0
ES,367.59,2024-03-11 12:38:00,bank,0
NL,96.71,2024-04-26 03:02:00,credit_card,0
UK,389.57,2024-06-14 18:32:00,paypal,0
DE,371.99,2024-05-30 23:58:00,paypal,0
NL,374.16,2024-01-13 13:32:00,credit_card,0
IT,334.79,2024-03-26 14:48:00,bank,0
DE,231.78,2024-04-07 10:06:00,paypal,0
ES,315.64,2024-03-20 10:38:00,paypal,0
NL,119.69,2024-02-24 14:31:00,paypal,0
DE,32.99,2024-02-13 07:51:00,bank,0
UK,5861.18,2024-06-05 16:48:00,paypal,1
UK,302.92,2024-06-21 20:55:00,credit_card,0
DE,41.83,2024-01-18 13:53:00,credit_card,0
DE,135.27,2024-05-06 06:42:00,credit_card,0
ES,283.44,2024-05-05 15:42:00,bank,0
ES,63.59,2024-01-23 23:20:00,paypal,0
ES,247.78,2024-02-09 21:23:00,bank,0
IT,244.8,2024-03-16 09:35:00,bank,0
UK,27.58,2024-04-16 08:18:00,bank,0
IT,293.2,2024-02-26 21:32:00,bank,0
NL,219.56,2024-06-12 01:38:00,paypal,0
DE,266.06,2024-02-25 19:06:00,bank,0
UK,317.35,2024-04-13 08:40:00,bank,0
IT,374.03,2024-04-02 10:20:00,bank,0
IT,342.9,2024-01-19 02:05:00,credit_card,0
IT,246.08,2024-03-09 23:49:00,paypal,0
UK,392.42,2024-03-28 02:44:00,bank,0
FR,43.24,2024-02-22 19:57:00,credit_card,0
NL,117.6,2024-05-18 22:06:00,credit_card,0
UK,82.83,2024-03-19 12:22:00,paypal,0
ES,184.47,2024-04-26 17:56:00,bank,0
DE,217.37,2024-04-02 02:14:00,credit_card,0
IT,99.5,2024-03-21 01:49:00,paypal,0
NL,38.83,2024-03-29 11:19:00,credit_card,0
UK,224.54,2024-04-04 01:10:00,bank,0
DE,272.96,2024-02-21 17:27:00,paypal,0
IT,92.51,2024-04-21 23:26:00,paypal,0
ES,177.5,2024-01-20 06:31:00,credit_card,0
ES,163.33,2024-01-18 08:44:00,credit_card,0
FR,384.51,2024-01-15 14:00:00,credit_card,0
ES,175.12,2024-02-14 10:54:00,bank,0
FR,14.79,2024-05-14 02:05:00,bank,0
UK,4097.88,2024-05-26 22:23:00,paypal,1
NL,193.41,2024-06-20 14:54:00,bank,0
ES,27.19,2024-04-02 08:35:00,paypal,0
NL,288.46,2024-02-07 01:31:00,credit_card,0
IT,170.16,2024-06-24 06:02:00,paypal,0
UK,364.21,2024-02-25 00:17:00,bank,0
IT,290.37,2024-03-15 15:13:00,credit_card,0
NL,399.57,2024-03-30 03:16:00,paypal,0
UK,99.52,2024-01-10 05:47:00,paypal,0
ES,103.99,2024-04-25 14:36:00,credit_card,0
UK,19.61,2024-02-06 16:45:00,bank,0
ES,27.88,2024-06-08 20:04:00,credit_card,0
UK,5987.16,2024-01-26 04:22:00,credit_card,1
FR,14.65,2024-02-14 13:44:00,credit_card,0
NL,288.83,2024-02-23 00:35:00,credit_card,0
ES,251.19,2024-03-13 08:37:00,bank,0
UK,266.54,2024-01-24 11:23:00,paypal,0
NL,236.62,2024-05-28 00:16:00,credit_card,0
ES,38.31,2024-04-27 14:58:00,paypal,0
FR,379.33,2024-03-29 12:33:00,bank,0
UK,110.39,2024-05-23 08:05:00,credit_card,0
ES,47.82,2024-03-20 02:38:00,credit_card,0
UK,2471.42,2024-02-14 21:31:00,credit_card,1
FR,61.4,2024-04-20 14:31:00,credit_card,0
FR,373.4,2024-02-23 03:09:00,bank,0
UK,365.42,2024-01-18 00:18:00,paypal,0
FR,65.51,2024-05-16 02:54:00,bank,0
UK,309.74,2024-05-13 20:04:00,credit_card,0
NL,198.49,2024-04-12 11:27:00,paypal,0
NL,266.88,2024-01-16 06:46:00,paypal,0
NL,38.56,2024-01-10 13:51:00,paypal,0
IT,109.46,2024-01-23 11:58:00,credit_card,0
FR,365.29,2024-03-03 07:38:00,bank,0
NL,255.94,2024-04-23 16:34:00,paypal,0
ES,136.66,2024-05-01 23:51:00,bank,0
ES,349.61,2024-03-18 00:43:00,paypal,0
UK,8.09,2024-05-28 17:58:00,paypal,0
FR,146.51,2024-05-23 12:42:00,credit_card,0
US,2258.11,2024-04-17 06:32:00,paypal,1
UK,278.64,2024-01-12 07:25:00,bank,0
US,4472.21,2024-04-07 18:03:00,credit_card,1
ES,300.84,2024-04-13 14:54:00,paypal,0
UK,230.86,2024-02-12 12:26:00,credit_card,0
UK,284.39,2024-03-20 06:40:00,bank,0
FR,100.67,2024-04-14 05:35:00,paypal,0
DE,121.22,2024-03-14 14:51:00,credit_card,0
ES,237.38,2024-02-11 21:23:00,credit_card,0
UK,188.83,2024-01-30 01:48:00,credit_card,0
UK,67.44,2024-03-16 15:52:00,credit_card,0
ES,155.51,2024-04-26 05:51:00,paypal,0
IT,234.23,2024-06-22 17:06:00,bank,0
DE,354.27,2024-04-12 04:49:00,paypal,0
UK,379.01,2024-01-31 01:27:00,bank,0
DE,179.67,2024-02-25 03:02:00,bank,0
IT,353.52,2024-04-29 02:30:00,paypal,0
IT,266.79,2024-04-26 19:38:00,credit_card,0
FR,189.87,2024-02-05 02:24:00,paypal,0
IT,229.61,2024-01-11 23:09:00,bank,0
FR,335.2,2024-04-14 17:04:00,paypal,0
IT,117.55,2024-05-16 06:24:00,paypal,0
UK,177.31,2024-03-24 16:41:00,credit_card,0
IT,359.98,2024-03-22 00:43:00,credit_card,0
UK,94.14,2024-02-12 09:16:00,paypal,0
UK,15.53,2024-03-27 09:30:00,paypal,0
FR,80.29,2024-04-19 02:43:00,bank,0
NL,299.54,2024-03-27 16:45:00,credit_card,0
NL,184.66,2024-02-27 06:08:00,credit_card,0
IT,177.05,2024-05-13 01:54:00,bank,0
UK,288.85,2024-01-03 13:32:00,bank,0
FR,108.01,2024-02-12 21:00:00,credit_card,0
NL,49.19,2024-06-21 00:59:00,credit_card,0
UK,156.1,2024-01-08 01:11:00,credit_card,0
DE,386.06,2024-01-20 16:17:00,credit_card,0
UK,182.64,2024-05-27 10:08:00,credit_card,0
UK,118.01,2024-06-05 22:44:00,credit_card,0
ES,13.6,2024-02-16 07:44:00,paypal,0
UK,355.54,2024-03-29 19:52:00,paypal,0
DE,91.07,2024-01-14 07:04:00,paypal,0
US,5245.69,2024-05-21 06:23:00,paypal,1
US,5929.06,2024-06-04 16:56:00,paypal,1
FR,237.6,2024-04-05 09:13:00,bank,0
